,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_WVGAWxH,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480,WVGA 848x480
STRID_VGAWxH,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480,VGA 640x480
STRID_QVGAWxH,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240,QVGA 320x240
STRID_D1WxH,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480,D1 720x480
STRID_720PWxH,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720,720P 1280x720
STRID_1080PWxH,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080,1080P 1440x1080
STRID_1080FHDWxH,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080,1080FHD 1920x1080
STRID_720P60FPSWxH,720P60 1280x720,720P60 1280x720,720P60 1280x720,720P60 1280x720,720P60 1280x720,720P60 1280x720,720P60 1280x720,720P60 1280x720,720P60 1280x720,720P60 1280x720
STRID_720P30FPSWxH,720P30 1280x720,720P30 1280x720,720P30 1280x720,720P30 1280x720,720P30 1280x720,720P30 1280x720,720P30 1280x720,720P30 1280x720,720P30 1280x720,720P30 1280x720
STRID_VGA30FPSWxH,VGA30 640x480,VGA30 640x480,VGA30 640x480,VGA30 640x480,VGA30 640x480,VGA30 640x480,VGA30 640x480,VGA30 640x480,VGA30 640x480,VGA30 640x480
STRID_VGA120FPSWxH,VGA120 640x480,VGA120 640x480,VGA120 640x480,VGA120 640x480,VGA120 640x480,VGA120 640x480,VGA120 640x480,VGA120 640x480,VGA120 640x480,VGA120 640x480
STRID_COMPRESSION,Compression,Compression,Kompression,Compresión,Compress.imm.,Compressão,图像质量,圧縮率,壓縮率,Сжатие записи
STRID_QUALITY,Quality,Qualité,Qualität,Calidad,Qualità,Quality,图像质量,画質,影像品質,качество 
STRID_SUPER,Super Fine,Super Forte,Superfein,Calidad Extra,Molto forte,Super Fina,最佳,スーパーファイン,最佳,Наилучшее
STRID_FINE,Fine,Forte,Fein,Alta,Forte,Fina,优质,ファイン,較佳,Высокое
