,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_COLOCK_3MIN,Colock  3Min,Colock  3Min,Colock  3Min,Colock  3Min,Colock  3Min,Colock  3Min,时钟-3,時計ー３分,時鐘-3,Colock  3Min
STRID_LCD_BACKLIGHT_OFF,Backlight Off,Backlight Off,Backlight Off,Backlight Off,Backlight Off,Backlight Off,关闭屏幕,画面を閉める,關閉螢幕,Backlight Off
STRID_UNDERLINE,_,_,_,_,_,_,_,_,_,_
STRID_TIMER_LAPSE,Time-lapse,Intervalle,Zeitraffer,Lapso de tiempo,Intervallo,Intervalo,缩时录影,タイムラプス撮影,縮時錄影,Интервальная съемка
STRID_1_HOUR,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 Hour,1 小时,1時間,1 小時,1 Hour
STRID_2_HOUR,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 Hour,2 小时,2時間,2 小時,2 Hour
STRID_3_HOUR,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 Hour,3 小时,3時間,3 小時,3 Hour
STRID_CAMERA_MODE_OFF,Camera Mode Off,Camera Mode Off,Camera Mode Off,Camera Mode Off,Camera Mode Off,Camera Mode Off,监控模式关闭中,モニタリングモードオフ,监控模式关闭中,Camera Mode Off
STRID_NOT_USED_CAMERA_MODE,"Driving,not used Camera Mode","Driving,not used Camera Mode","Driving,not used Camera Mode","Driving,not used Camera Mode","Driving,not used Camera Mode","Driving,not used Camera Mode",车辆行驶中，\n不能使用监控模式,運転中は監視モードを使用できない,车辆行驶中，\n不能使用监控模式,"Driving,not used Camera Mode"
STRID_CHANGE_TO_NORMAL_MODE,Change to Normal Mode,Change to Normal Mode,Change to Normal Mode,Change to Normal Mode,Change to Normal Mode,Change to Normal Mode,车辆行驶中，\n切换到正常录影模式,運転中は通常モードに変更します,车辆行驶中，\n切换到正常录影模式,Change to Normal Mode
STRID_NOT_USED_CAMERA_MODE_IN_MOTIONDET,"Use motion detection, \nyou can not use this mode","Use motion detection, \nyou can not use this mode","Use motion detection, \nyou can not use this mode","Use motion detection, \nyou can not use this mode","Use motion detection, \nyou can not use this mode","Use motion detection, \nyou can not use this mode","移动侦测使用中,\n无法使用该模式",動き検出を使用して、このモードを使用できない,"移動偵測使用中,無法使用該模式","Use motion detection, \nyou can not use this mode"
STRID_PLEASE_RESETING_DATE,"Inorder to ensure driving safety,Please format TF Card and reset the system time.","Inorder to ensure driving safety,Please format TF Card and reset the system time.","Inorder to ensure driving safety,Please format TF Card and reset the system time.","Inorder to ensure driving safety,Please format TF Card and reset the system time.","Inorder to ensure driving safety,Please format TF Card and reset the system time.","Inorder to ensure driving safety,Please format TF Card and reset the system time.",为确保行车安全\n请格式化存储卡及\n重新设置系统时间,交通安全を確保するために、TFカードをフォーマットして、システム時刻をリセットしてください,為確保行車安全\n請格式化記憶卡及\n重新設置系統時間,"Inorder to ensure driving safety,Please format TF Card and reset the system time."
STRID_GSENSOR_ADJUST,Auto Calibration,Auto Calibration,Auto Calibration,Auto Calibration,Auto Calibration,Auto Calibration,自动校正,自動補正,自動校正,Auto Calibration
STRID_FORMAT_WARNING,Format Warning,Format Warning,Format Warning,Format Warning,Format Warning,Format Warning,格式化提示,フォーマット警告,格式化提示,Format Warning
STRID_FORMAT_WARNING_15_DAY,15 Days,15 Days,15 Days,15 Days,15 Days,15 Days,15 天,15 日,15 天,15 Days
STRID_FORMAT_WARNING_30_DAY,30 Days,30 Days,30 Days,30 Days,30 Days,30 Days,30 天,30 日,30 天,30 Days
STRID_FORMAT_WARNING_60_DAY,60 Days,60 Days,60 Days,60 Days,60 Days,60 Days,60 天,60 日,60 天,60 Days
STRID_PLAY_FILE,Play List,Play List,Play List,Play List,Play List,Play List,播放列表,プレイリスト,播放列表,Play List
STRID_VIDEO_FLIE,Video File,Video File,Video File,Video File,Video File,Video File,录影文件,ビデオファイル,錄影文件,Video File
STRID_PHOTO_FILE,Photo File,Photo File,Photo File,Photo File,Photo File,Photo File,照片,写真ファイル,照片,Photo File
STRID_VIDEO_FILE_LIST,Video File List,Video File List,Video File List,Video File List,Video File List,Video File List,录影文件列表,ビデオファイルリスト,錄影文件列表,Video File List
STRID_PHOTO_FILE_LIST,Photo File List,Photo File List,Photo File List,Photo File List,Photo File List,Photo File List,照片文件列表,写真ファイルリスト,照片文件列表,Photo File List
STRID_FORMAT_WARNING1,"To ensure the safety and quality of video,please format the Mirco SD card",Mettez la carte mémoire en formattage pour assurer la sécurité et la qualité de la vidéo,"Formatiere Sie bitte die Speicherkarte, um die Verkehrssicherheit und die Videoqualität zu gewährleisten",Formatee la tarjeta de memoria para garantizar la seguridad del tráfico y la calidad de vídeo,Formattare la scheda di memoria per garantire la sicurezza  e la qualità del video ,To ensure the safety\n and quality of video\n format memory card,为确保行车安全\n及录像品质\n请格式化储存卡,安全及びビデオの\n品質を保証するため、\nマイクロSDカード\nをフォーマットしてください,為確保行車安全\n及錄像品質\n請格式化儲存卡,Чтобы файлы сохранялись правильно периодически форматируйте SD-карту.
STRID_MOVIEWND_PLAYBACK,Play,Play,Play,Play,Play,Play,回放,再生,播放,Play
STRID_MOVIEWND_SETTING,Set,Set,Set,Set,Set,Set,设置,セット,選單,Set
STRID_MOVIEWND_CLOSELCD,Panel,Panel,Panel,Panel,Panel,Panel,关屏幕,パネル,關螢幕,Panel
STRID_MOVIEWND_OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
STRID_PLAYBACK_PLAY_LIST,Play List,Play List,Play List,Play List,Play List,Play List,播放列表,プレイリスト,播放列表,Play List
STRID_LOGOL_OPEN,For your own safety.\r\nDo not operate the device\r\nwhile driving.,For your own safety.\r\nDo not operate the device\r\nwhile driving.,For your own safety.\r\nDo not operate the device\r\nwhile driving.,For your own safety.\r\nDo not operate the device\r\nwhile driving.,For your own safety.\r\nDo not operate the device\r\nwhile driving.,For your own safety.\r\nDo not operate the device\r\nwhile driving.,为了您的行车安全\r\n车辆行驶中请勿操作,交通安全を確保するために、運転中は操作しないでください,為了您的行車安全\r\n車輛行駛中請勿操作,For your own safety.\r\nDo not operate the device\r\nwhile driving.
STRID_LOGOL_BYE,Thank you for choosing\r\nour product.\r\nGoodbye.,Thank you for choosing\r\nour product.\r\nGoodbye.,Thank you for choosing\r\nour product.\r\nGoodbye.,Thank you for choosing\r\nour product.\r\nGoodbye.,Thank you for choosing\r\nour product.\r\nGoodbye.,Thank you for choosing\r\nour product.\r\nGoodbye.,感谢您的使用\r\n再见,ご利用いただきありがとうございます。さようなら。,感謝您的使用\r\n再見,Thank you for choosing\r\nour product.\r\nGoodbye.
STRID_POWER_OFF_10S,The Shutdown Count 10,The Shutdown Count 10,The Shutdown Count 10,The Shutdown Count 10,The Shutdown Count 10,The Shutdown Count 10,本次关机倒数 10 秒,シャットダウンカウント10,本次關機倒數 10 秒,The Shutdown Count 10
STRID_POWER_OFF_9S,The Shutdown Count 9,The Shutdown Count 9,The Shutdown Count 9,The Shutdown Count 9,The Shutdown Count 9,The Shutdown Count 9,本次关机倒数 9 秒,シャットダウンカウント 9,本次關機倒數 9 秒,The Shutdown Count 9
STRID_POWER_OFF_8S,The Shutdown Count 8,The Shutdown Count 8,The Shutdown Count 8,The Shutdown Count 8,The Shutdown Count 8,The Shutdown Count 8,本次关机倒数 8 秒,シャットダウンカウント 8,本次關機倒數 8 秒,The Shutdown Count 8
STRID_POWER_OFF_7S,The Shutdown Count 7,The Shutdown Count 7,The Shutdown Count 7,The Shutdown Count 7,The Shutdown Count 7,The Shutdown Count 7,本次关机倒数 7 秒,シャットダウンカウント 7,本次關機倒數 7 秒,The Shutdown Count 7
STRID_POWER_OFF_6S,The Shutdown Count 6,The Shutdown Count 6,The Shutdown Count 6,The Shutdown Count 6,The Shutdown Count 6,The Shutdown Count 6,本次关机倒数 6 秒,シャットダウンカウント 6,本次關機倒數 6 秒,The Shutdown Count 6
STRID_POWER_OFF_5S,The Shutdown Count 5,The Shutdown Count 5,The Shutdown Count 5,The Shutdown Count 5,The Shutdown Count 5,The Shutdown Count 5,本次关机倒数 5 秒,シャットダウンカウント 5,本次關機倒數 5 秒,The Shutdown Count 5
STRID_POWER_OFF_4S,The Shutdown Count 4,The Shutdown Count 4,The Shutdown Count 4,The Shutdown Count 4,The Shutdown Count 4,The Shutdown Count 4,本次关机倒数 4 秒,シャットダウンカウント 4,本次關機倒數 4 秒,The Shutdown Count 4
STRID_POWER_OFF_3S,The Shutdown Count 3,The Shutdown Count 3,The Shutdown Count 3,The Shutdown Count 3,The Shutdown Count 3,The Shutdown Count 3,本次关机倒数 3 秒,シャットダウンカウント 3,本次關機倒數 3 秒,The Shutdown Count 3
STRID_POWER_OFF_2S,The Shutdown Count 2,The Shutdown Count 2,The Shutdown Count 2,The Shutdown Count 2,The Shutdown Count 2,The Shutdown Count 2,本次关机倒数 2 秒,シャットダウンカウント 2,本次關機倒數 2 秒,The Shutdown Count 2
STRID_POWER_OFF_1S,The Shutdown Count 1,The Shutdown Count 1,The Shutdown Count 1,The Shutdown Count 1,The Shutdown Count 1,The Shutdown Count 1,本次关机倒数 1 秒,シャットダウンカウント 1,本次關機倒數 1 秒,The Shutdown Count 1
STRID_POWER_OFF_0S,The Shutdown Count 0,The Shutdown Count 0,The Shutdown Count 0,The Shutdown Count 0,The Shutdown Count 0,The Shutdown Count 0,本次关机倒数 0 秒,シャットダウンカウント 0,本次關機倒數 0 秒,The Shutdown Count 0
STRID_PARKINGGUARD,Parking guard,Parking guard,Parking guard,Parking guard,Parking guard,Parking guard,停车卫士,駐車ガード,停車衛士,Parking guard
STRID_TIME_ZONE,Time Zone,Fuseauhoraire,Time Zone,Time Zone,Time Zone,Time Zone,时区,タイムゾーン,時區,Часовые пояса
STRID_GMT_N12,GMT -12,GMT -12,GMT -12,GMT -12,GMT -12,GMT -12,GMT -12,GMT -12,GMT -12,GMT -12
STRID_GMT_N11,GMT -11,GMT -11,GMT -11,GMT -11,GMT -11,GMT -11,GMT -11,GMT -11,GMT -11,GMT -11
STRID_GMT_N10,GMT -10,GMT -10,GMT -10,GMT -10,GMT -10,GMT -10,GMT -10,GMT -10,GMT -10,GMT -10
STRID_GMT_N9,GMT -9,GMT -9,GMT -9,GMT -9,GMT -9,GMT -9,GMT -9,GMT -9,GMT -9,GMT -9
STRID_GMT_N8,GMT -8,GMT -8,GMT -8,GMT -8,GMT -8,GMT -8,GMT -8,GMT -8,GMT -8,GMT -8
STRID_GMT_N7,GMT -7,GMT -7,GMT -7,GMT -7,GMT -7,GMT -7,GMT -7,GMT -7,GMT -7,GMT -7
STRID_GMT_N6,GMT -6,GMT -6,GMT -6,GMT -6,GMT -6,GMT -6,GMT -6,GMT -6,GMT -6,GMT -6
STRID_GMT_N5,GMT -5,GMT -5,GMT -5,GMT -5,GMT -5,GMT -5,GMT -5,GMT -5,GMT -5,GMT -5
STRID_GMT_N4,GMT -4,GMT -4,GMT -4,GMT -4,GMT -4,GMT -4,GMT -4,GMT -4,GMT -4,GMT -4
STRID_GMT_N3,GMT -3,GMT -3,GMT -3,GMT -3,GMT -3,GMT -3,GMT -3,GMT -3,GMT -3,GMT -3
STRID_GMT_N2,GMT -2,GMT -2,GMT -2,GMT -2,GMT -2,GMT -2,GMT -2,GMT -2,GMT -2,GMT -2
STRID_GMT_N1,GMT -1,GMT -1,GMT -1,GMT -1,GMT -1,GMT -1,GMT -1,GMT -1,GMT -1,GMT -1
STRID_GMT_N0,GMT 0,GMT 0,GMT 0,GMT 0,GMT 0,GMT 0,GMT 0,GMT 0,GMT 0,GMT 0
STRID_GMT_P1,GMT +1,GMT +1,GMT +1,GMT +1,GMT +1,GMT +1,GMT +1,GMT +1,GMT +1,GMT +1
STRID_GMT_P2,GMT +2,GMT +2,GMT +2,GMT +2,GMT +2,GMT +2,GMT +2,GMT +2,GMT +2,GMT +2
STRID_GMT_P3,GMT +3,GMT +3,GMT +3,GMT +3,GMT +3,GMT +3,GMT +3,GMT +3,GMT +3,GMT +3
STRID_GMT_P4,GMT +4,GMT +4,GMT +4,GMT +4,GMT +4,GMT +4,GMT +4,GMT +4,GMT +4,GMT +4
STRID_GMT_P5,GMT +5,GMT +5,GMT +5,GMT +5,GMT +5,GMT +5,GMT +5,GMT +5,GMT +5,GMT +5
STRID_GMT_P6,GMT +6,GMT +6,GMT +6,GMT +6,GMT +6,GMT +6,GMT +6,GMT +6,GMT +6,GMT +6
STRID_GMT_P7,GMT +7,GMT +7,GMT +7,GMT +7,GMT +7,GMT +7,GMT +7,GMT +7,GMT +7,GMT +7
STRID_GMT_P8,GMT +8,GMT +8,GMT +8,GMT +8,GMT +8,GMT +8,GMT +8,GMT +8,GMT +8,GMT +8
STRID_GMT_P9,GMT +9,GMT +9,GMT +9,GMT +9,GMT +9,GMT +9,GMT +9,GMT +9,GMT +9,GMT +9
STRID_GMT_P10,GMT +10,GMT +10,GMT +10,GMT +10,GMT +10,GMT +10,GMT +10,GMT +10,GMT +10,GMT +10
STRID_GMT_P11,GMT +11,GMT +11,GMT +11,GMT +11,GMT +11,GMT +11,GMT +11,GMT +11,GMT +11,GMT +11
STRID_GMT_P12,GMT +12,GMT +12,GMT +12,GMT +12,GMT +12,GMT +12,GMT +12,GMT +12,GMT +12,GMT +12
STRID_GMT_P13,GMT +13,GMT +13,GMT +13,GMT +13,GMT +13,GMT +13,GMT +13,GMT +13,GMT +13,GMT +13
STRID_GMT_N330,GMT -3:30,GMT -3:30,GMT -3:30,GMT -3:30,GMT -3:30,GMT -3:30,GMT -3:30,GMT -3:30,GMT -3:30,GMT -3:30
STRID_GMT_P330,GMT +3:30,GMT +3:30,GMT +3:30,GMT +3:30,GMT +3:30,GMT +3:30,GMT +3:30,GMT +3:30,GMT +3:30,GMT +3:30
STRID_GMT_P430,GMT +4:30,GMT +4:30,GMT +4:30,GMT +4:30,GMT +4:30,GMT +4:30,GMT +4:30,GMT +4:30,GMT +4:30,GMT +4:30
STRID_GMT_P530,GMT +5:30,GMT +5:30,GMT +5:30,GMT +5:30,GMT +5:30,GMT +5:30,GMT +5:30,GMT +5:30,GMT +5:30,GMT +5:30
STRID_GMT_P930,GMT +9:30,GMT +9:30,GMT +9:30,GMT +9:30,GMT +9:30,GMT +9:30,GMT +9:30,GMT +9:30,GMT +9:30,GMT +9:30
STRID_GMT_P1030,GMT +10:30,GMT +10:30,GMT +10:30,GMT +10:30,GMT +10:30,GMT +10:30,GMT +10:30,GMT +10:30,GMT +10:30,GMT +10:30
STRID_CAR_SAFE,Driving Safety,Aides à la conduite,Sicherheitsfunktionen,Conducción segura,Sicurezza di guida,Segurança condução,行车安全,安全走行,行車安全,Безопасность вождения
STRID_TSR,Traffic Sign Recognition,Traffic Sign Recognition,Schildererkennung ,Detección de señales,Riconosc. Segnaletica,Traffic Sign Recognition,限速标志辨识,標識警告,限速標誌辨識,Распозн. дорожных знаков
STRID_REC,REC :,ENREG :,REC :,Grabar:,REC:,REC :,REC :,REC :,REC :,ЗАПИСЬ:
STRID_SNG,Stop & Go,Stop & Go,Stop & Go,Parada y arranque,Stop & Go,Pare e Siga,前车起步提醒,出発遅延警告,前車起步提醒,Стоп и пуск
STRID_FATIGUE_DRIVING,Driver Fatigue Alarm,L’alerte Somnolence,Ermüdungsalarm,Alarma de fatiga,Allarme Stanchezza,Condução de fadiga,疲劳驾驶警示,疲労運転警告,疲勞駕駛警示,Усталость за рулем
STRID_REMIND_LIGHT,Light Reminder ,Alerte luminosité faible,Licht- Erinnerung,Recuerde las luces,Promemoria luci,Luz lembrete,开灯提醒,ライト点灯忘れ警告,開燈提醒,Напоминание о фарах
STRID_FATIGUE_30MIN,30 Mins,30 min,30 min,30 min,30 min.,30 Mins,30 分钟,30分間,30分鐘,30 мин.
STRID_FATIGUE_1HOUR,1 Hour,1 heure,1 Std,1 h,1 ora,1 Hora,1 小时,1 時間,1小時,1 час
STRID_FATIGUE_2HOUR,2 Hour,2 heures,2 Std,2 h,2 ore,2 Hora,2 小时,2 時間,2小時,2 часа
STRID_FATIGUE_4HOUR,4 Hour,4 heures,4 Std,4 h,4 ore,4 Hora,4 小时,4 時間,4小時,4 часа
STRID_SPEED_UNIT,Speed Unit,Unité de vitesse,Speed-Einheit,Unidad de velocidad,Unità di velocità,Speed Unit,速度单位,速度の単位,速度單位,Единица скорости
STRID_SPEED_MPH,MPH,MPH,MPH,MPH,MPH,MPH,MPH,MPH,MPH,MPH
STRID_SPEED_KPH,KM/H,KM/H,KM/H,KM/H,KM/H,KM/H,KM/H,KM/H,KM/H,KM/H
STRID_C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0
STRID_C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
STRID_C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2
STRID_C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3
STRID_C4,C4,C4,C4,C4,C4,C4,C4,C4,C4,C4
STRID_C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5
STRID_C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6
STRID_C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7
STRID_C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8
STRID_C9,C9,C9,C9,C9,C9,C9,C9,C9,C9,C9
STRID_D0,D0,D0,D0,D0,D0,D0,D0,D0,D0,D0
STRID_LED_DET,Detect Led,Détecter Led,Led Detektieren,Detectar Led,LED Rilevamento,Detect Led,侦测灯,LEDインジケータ,偵測燈,Detect Led
STRID_1080P30_1080P30,"1080P30,1080P30","1080P30,1080P30","1080P30,1080P30","1080P30,1080P30","1080P30,1080P30","1080P30,1080P30","1080P30,1080P30","1080P30,1080P30","1080P30,1080P30","1080P30,1080P30"
STRID_ONE_CAMERA,Front Camera,Caméra frontale,Frontkamera,Cámara Frontal,Videocamera Anteriore,One Camera,单镜头,前置カメラ,單鏡頭,One Camera
STRID_TWO_CAMERA,Dual Camera,Double Caméra,Doppelkamera,Doble Cámara,Doppia Videocamere,Two Camera,双镜头,デュアルカメラ,雙鏡頭,Two Camera
STRID_DISPLAY_MODE,Display Mode,Mode d'affichage,Display Modus,Modo de Visualización,Modalità di Schermo,Display Mode,屏幕显示方式,ディスプレイモード,螢幕顯示方式,Display Mode
STRID_FRONT_CAMERA,Front Camera,Caméra frontale,Frontkamera,Cámara Frontal,Videocamera Anteriore,Front Camera,前镜头,前置カメラ,前鏡頭,Фронтальная камера
STRID_MIDDLE_CAMERA,Middle Camera,Middle Camera,Middle Camera,Middle Camera,Middle Camera,Middle Camera,中镜头,Middle Camera,中鏡頭,Фронтальная камера
STRID_BACK_CAMERA,Rear Camera,Caméra arrière,Heckkamera,Camara Trasera,Videocamera Posteriore,Back Camera,后镜头,後置カメラ,後鏡頭,Дополнительная камера
STRID_PICTURE_IN_PICTURE,Dual View,Double Vue,Doppelansicht,Doble Vista,Doppia Vista,Picture In Picture,画中画,デュアルカメラ,子母畫面,Картинка в картинке
STRID_FILL_ASCII,"q1234567890~!@#$%^&*()-_=+[]{}|\/:;'"",.<>?",,,,,,,,,
STRID_PERCENT20,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
STRID_PERCENT40,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%
STRID_PERCENT60,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%
STRID_PERCENT80,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
STRID_PERCENT100,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
STRID_MUTE,Mute,silencieux,Stumm,Mudo,Muto,Mudo,静音,Mute,靜音,Выкл.
STRID_CAMERA1,Camera1,Camera1,Camera1,Camera1,Camera1,Camera1,前镜头,Camera1,前鏡頭,Camera1
STRID_CAMERA2,Camera2,Camera2,Camera2,Camera2,Camera2,Camera2,后镜头,Camera2,後鏡頭,Camera2
STRID_CAMERA_NORMAL,Normal,Normal,Normal,Normal,Normal,Normal,正常,Normal,正常,Normal
STRID_CAMERA_INVERTED,Inverted,Inverted,Inverted,Inverted,Inverted,Inverted,倒立,Inverted,倒立,Inverted
STRID_WIFI,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi,WiFi
STRID_WIFI_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF,WiFi_OFF
STRID_REFRESH,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh,Refresh
STRID_WIFI_AP_MODE,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode,AP mode
STRID_WIFI_ClIENT_MODE,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode,Client mode
STRID_SSID,SSID,SSID,SSID,SSID,SSID,SSID,SSID,SSID,SSID,SSID
STRID_WIFI_AUTO,Wi-Fi Auto Start,Wi-Fi Auto Start,Wi-Fi Auto Start,Auto-activar Wi-Fi,Wi-Fi Auto Start,Wi-Fi Auto Start,Wi-Fi自动启动,Wi-Fi Auto Start,Wi-Fi自動啟動,Автозапуск Wi-Fi
STRID_BOOT_DELAY,Boot Delay,Délai de démarrage,Boot-Verzögerung,retardo de arranque,ritardo avvio,atraso Bota,延时开机,ブート遅延,延時開機,задержка загрузки
STRID_15SEC,15 Seconds,15 Secondes,15 Sek,15 Segundos,15 Secondi,15 Segundos,15 秒,15 秒,15 秒,15 сек.
STRID_30SEC,30 Seconds,30 Secondes,30 Sek,30 Segundos,30 Secondi,30 Segundos,30 秒,30 秒,30 秒,30 сек.
STRID_GPS_STAMP,GPS Info Stamp,Infos GPS stamp,GPS-Info Stempel,Datos de GPS sello,GPS informazioni timbro,Informação GPS selo,坐标标签,GPS情報スタンプ,座標記錄,Штамп GPS
STRID_COORDINATES,Coordinates,Coordonnées,Koordinaten,Coordenadas,Coordinate,Coordenadas,经纬度,座標,經緯度,Координаты
STRID_SPEED,Speed,Vitesse,Geschwindigkeit,Velocidad,Velocità,Velocidade,时速,スピード,時速,Cкорость
STRID_COORDINATES_SPEED,Coords+Speed,Coordonnées+Vitesse,Coordinates+Speed,Coordenadas+Velocidad,Coordinate+Velocità,Coordenadas+Velocidade,经纬度+时速,座標+スピード,經緯度+時速,Координаты+Cкорость
STRID_GPS_STATUS,GPS Status,GPS Status,GPS Status,GPS Status,GPS Status,GPS Status,GPS状态,GPS Status,GPS狀態,GPS Status
STRID_2160P24,2160P24  2880x2160,2160P24  2880x2160,2160P24  2880x2160,2160P24  2880x2160,2160P24  2880x2160,2160P24  2880x2160,2160P24  2880x2160,2160P24  2880x2160,2160P24  2880x2160,2160P24  2880x2160
STRID_1440P30,1440P30  2560x1440,1440P30  2560x1440,1440P30  2560x1440,1440P30  2560x1440,1440P30  2560x1440,1440P30  2560x1440,1440P30  2560x1440,1440P30  2560x1440,1440P30  2560x1440,1440P30  2560x1440
STRID_1296P30,1296P30  2304x1296,1296P30  2304x1296,1296P30  2304x1296,1296P30  2304x1296,1296P30  2304x1296,1296P30  2304x1296,1296P30  2304x1296,1296P30  2304x1296,1296P30  2304x1296,1296P30  2304x1296
STRID_1080P60,1080P60  1920x1080,1080P60  1920x1080,1080P60  1920x1080,1080P60  1920x1080,1080P60  1920x1080,1080P60  1920x1080,1080P60  1920x1080,1080P60  1920x1080,1080P60  1920x1080,1080P60  1920x1080
STRID_1080P30,1080P30  1920x1080,1080P30  1920x1080,1080P30  1920x1080,1080P30  1920x1080,1080P30  1920x1080,1080P30  1920x1080,1080P30  1920x1080,1080P30  1920x1080,1080P30  1920x1080,1080P30  1920x1080
STRID_720P120,720P120  1280x720,720P120  1280x720,720P120  1280x720,720P120  1280x720,720P120  1280x720,720P120  1280x720,720P120  1280x720,720P120  1280x720,720P120  1280x720,720P120  1280x720
STRID_FRONT_EV,EV Front,EV Front,EV Front,EV Front,EV Front,EV Front,前镜头曝光补偿,EV Front,前鏡頭曝光補償,EV фронт
STRID_MIDDLE_EV,EV Middle,EV Middle,EV Middle,EV Middle,EV Middle,EV Middle,中镜头曝光补偿,EV Middle,中鏡頭曝光補償,EV фронт
STRID_REAR_EV,EV Rear,EV Rear,EV Rear,EV Rear,EV Rear,EV Rear,后镜头曝光补偿,EV Rear,後鏡頭曝光補償,EV задний
STRID_VIDEO_FORMAT,Video Format,Video Format,Video Format,Video Format,Video Format,Video Format,影像格式,Video Format,影像格式,Video Format
STRID_VIDEO_FORMAT_MP4,MP4,MP4,MP4,MP4,MP4,MP4,MP4,MP4,MP4,MP4
STRID_VIDEO_FORMAT_SUPER_MP4,Super MP4,Super MP4,Super MP4,Super MP4,Super MP4,Super MP4,Super MP4,Super MP4,Super MP4,Super MP4
STRID_VIDEO_FORMAT_TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS
STRID_MIDDLE_CAMERA_MIRROR,Middle Camera Mirror,Middle Camera Mirror,Middle Camera Mirror,Middle Camera Mirror,Middle Camera Mirror,Middle Camera Mirror,中镜头镜像,Middle Camera Mirror,中鏡頭鏡像,Middle Camera Mirror
STRID_REAR_CAMERA_MIRROR,Rear Camera Mirror,Rear Camera Mirror,Rear Camera Mirror,Rear Camera Mirror,Rear Camera Mirror,Rear Camera Mirror,后镜头镜像,Rear Camera Mirror,後鏡頭鏡像,Rear Camera Mirror
STRID_TIRE_SET,Tire Setup,Tire Setup,Tire Setup,Tire Setup,Tire Setup,Tire Setup,胎压设定,Tire Setup,胎壓設定,Tire Setup
STRID_PARM_SETTING,Parameter Setting,Parameter Setting,Parameter Setting,Parameter Setting,Parameter Setting,Parameter Setting,参数设定,Parameter Setting,參數設定,Parameter Setting
STRID_TIRE_STATUS,Tire Status,Tire Status,Tire Status,Tire Status,Tire Status,Tire Status,胎压状态,Tire Status,胎壓狀態,Tire Status
STRID_PRESSURE_UNIT,Press Unit,Press Unit,Press Unit,Press Unit,Press Unit,Press Unit,胎压单位,Press Unit,胎壓單位,Press Unit
STRID_TEMP_UNIT,Temp Unit,Temp Unit,Temp Unit,Temp Unit,Temp Unit,Temp Unit,温度单位,Temp Unit,溫度單位,Temp Unit
STRID_SERIAL_PORT,Front/ Rear Wheel,Front/ Rear Wheel,Front/ Rear Wheel,Front/ Rear Wheel,Front/ Rear Wheel,Front/ Rear Wheel,前轮/后轮,Front/ Rear Wheel,前輪/後輪,Front/ Rear Wheel
STRID_HIGH_PRESSURE,High Press,High Press,High Press,High Press,High Press,High Press,胎压上限,High Press,胎壓上限,High Press
STRID_LOW_PRESSURE,Low Press,Low Press,Low Press,Low Press,Low Press,Low Press,胎压下限,Low Press,胎壓下限,Low Press
STRID_HIGH_TEMP,High Temp,High Temp,High Temp,High Temp,High Temp,High Temp,温度上限,High Temp,溫度上限,High Temp
STRID_INFLATING_PROGRAMMING,Inflating Programming,Inflating Programming,Inflating Programming,Inflating Programming,Inflating Programming,Inflating Programming,充气对码,Inflating Programming,充氣對碼,Inflating Programming
STRID_TIRE_SWAP,Tire Swap,Tire Swap,Tire Swap,Tire Swap,Tire Swap,Tire Swap,轮胎互换,Tire Swap,輪胎互換,Tire Swap
STRID_TIRE_PSI,psi,psi,psi,psi,psi,psi,psi,psi,psi,psi
STRID_TIRE_BAR,bar,bar,bar,bar,bar,bar,bar,bar,bar,bar
STRID_TIRE_C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
STRID_TIRE_F,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F
STRID_TIRE_FW,Front Wheel,Front Wheel,Front Wheel,Front Wheel,Front Wheel,Front Wheel,前轮,Front Wheel,前輪,Front Wheel
